poi_name,brand,latitude,longitude,shape_surface,postcode,index_to_benchmark_local,footfall_area_id,footfall_index
La _ Dolce Vita,,48.86208,2.34877,102,75001,1.7003442370469344,891fb4662c3ffff,0.96587024477263816
Le Scone Café,,48.85824,2.34417,1249,75001,1.7003442370469344,891fb467527ffff,0.72387957936616953
Le Scone Café,,48.85824,2.34417,1249,75001,1.7003442370469344,891fb467527ffff,0.746575424780814
Da Rosa,,48.86634,2.32631,241,75001,1.7003442370469344,891fb467583ffff,0.75328197513286455
Da Rosa,,48.86634,2.32631,241,75001,1.7003442370469344,891fb467583ffff,0.77229878856549172
Charly Bun's,,48.86713,2.33249,1249,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Charly Bun's,,48.86713,2.33249,1249,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Au Trappiste,,48.85826,2.34753,1249,75001,1.7003442370469344,891fb466253ffff,0.8744518462762475
Au Trappiste,,48.85826,2.34753,1249,75001,1.7003442370469344,891fb466253ffff,0.88795986159245588
Maison Maison,,48.85846,2.34138,3773,75001,1.7003442370469344,891fb467537ffff,0.81684357103283811
Maison Maison,,48.85846,2.34138,3773,75001,1.7003442370469344,891fb467537ffff,0.83330968941914629
Le Saint Ô,,48.86558,2.32985,1249,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
Le Saint Ô,,48.86558,2.32985,1249,75001,1.7003442370469344,891fb467587ffff,0.78116583568716558
Café Mademoiselle,,48.86869,2.32526,254,75001,1.7003442370469344,891fb467597ffff,0.82606213537117334
Café Mademoiselle,,48.86869,2.32526,254,75001,1.7003442370469344,891fb467597ffff,0.84194392017143116
Tieb Food,,48.8645,2.34054,97,75001,1.7003442370469344,891fb4675a7ffff,0.76019973074776015
Tieb Food,,48.8645,2.34054,97,75001,1.7003442370469344,891fb4675a7ffff,0.77549321992933784
Le Restaurant Boudoir,,48.86387,2.33255,1414,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
Le Restaurant Boudoir,,48.86387,2.33255,1414,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Le Nelson's,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Le Nelson's,,48.8637,2.34306,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Café Joyeux Olympia,,48.86971,2.32777,1249,75001,1.7003442370469344,891fb467597ffff,0.82606213537117334
Café Joyeux Olympia,,48.86971,2.32777,1249,75001,1.7003442370469344,891fb467597ffff,0.84194392017143116
Le Meurice Alain Ducasse,,48.86529,2.32806,2169,75001,1.7003442370469344,891fb46758fffff,0.68624423943822555
Le Meurice Alain Ducasse,,48.86529,2.32806,2169,75001,1.7003442370469344,891fb46758fffff,0.70268164421074653
Manoj Saini,,48.86745,2.32943,41,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
Manoj Saini,,48.86745,2.32943,41,75001,1.7003442370469344,891fb467587ffff,0.78116583568716558
Astara Opéra,,48.86624,2.33881,1249,75001,1.7003442370469344,891fb4675b7ffff,0.75977506816643314
Astara Opéra,,48.86624,2.33881,1249,75001,1.7003442370469344,891fb4675b7ffff,0.78039015205091555
Restaurants du Monde - AUTOGRILL Carrousel du Louvre,AUTOGRILL,48.86227,2.3344,1249,75001,1.7003442370469344,891fb4675abffff,0.7560026803289589
Restaurants du Monde - AUTOGRILL Carrousel du Louvre,AUTOGRILL,48.86227,2.3344,1249,75001,1.7003442370469344,891fb4675abffff,0.76997311768417231
Restaurant LUMEN,,48.86532,2.33307,1249,75001,1.7003442370469344,891fb4675bbffff,0.77811582609692587
Restaurant LUMEN,,48.86532,2.33307,1249,75001,1.7003442370469344,891fb4675bbffff,0.79622340398133551
Capri Saint-Honoré,,48.86756,2.33237,1249,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Capri Saint-Honoré,,48.86756,2.33237,1249,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Beccuti Bar,,48.86063,2.34126,1249,75001,1.7003442370469344,891fb467537ffff,0.81684357103283811
Beccuti Bar,,48.86063,2.34126,1249,75001,1.7003442370469344,891fb467537ffff,0.83330968941914629
Japanese food,,48.86642,2.33569,123,75001,1.7003442370469344,891fb4675b3ffff,0.82044252273535412
Japanese food,,48.86642,2.33569,123,75001,1.7003442370469344,891fb4675b3ffff,0.84107606461956841
Boutique yam'Tcha,,48.8617,2.34245,72,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Boutique yam'Tcha,,48.8617,2.34245,72,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Clover Grill,,48.86101,2.34198,1249,75001,1.7003442370469344,891fb4662dbffff,0.82827631301068072
Clover Grill,,48.86101,2.34198,1249,75001,1.7003442370469344,891fb4662dbffff,0.83725071315824839
Le Pain Quotidien Saint-Honoré,LE PAIN QUOTIDIEN,48.86638,2.3317,1249,75001,1.7003442370469344,891fb467587ffff,0.761252522513296
Le Pain Quotidien Saint-Honoré,LE PAIN QUOTIDIEN,48.86638,2.3317,1249,75001,1.7003442370469344,891fb467587ffff,0.78116583568716558
Bakus,,48.86866,2.32943,1249,75001,1.7003442370469344,891fb46664bffff,0.82956231878460462
